x,y,z
609523.308816,268095.804199,-13197.235352
609548.434688,268096.335128,-13198.467285
609573.56056,268096.866057,-13199.699219
609598.678304,268097.294006,-13201.171875
609623.796048,268097.721955,-13202.644531
609648.917942,268098.017671,-13204.352051
609674.039835,268098.313388,-13206.05957
609699.172371,268098.459828,-13207.960449
609724.304906,268098.606269,-13209.861328
609749.457794,268098.577268,-13211.967285
609774.610682,268098.548266,-13214.073242
609799.792705,268098.325734,-13216.432617
609824.974729,268098.103202,-13218.791992
609850.202788,268097.654666,-13221.553711
609875.430848,268097.20613,-13224.31543
609900.721899,268096.500933,-13227.737305
609926.012949,268095.795735,-13231.15918
609951.385063,268094.820534,-13235.555176
609976.757178,268093.845333,-13239.951172
610002.227332,268092.581667,-13245.583984
610027.697486,268091.318001,-13251.216797
610053.280921,268089.751627,-13258.158691
610078.864357,268088.185253,-13265.100586
610104.565866,268086.324644,-13273.333008
610130.267375,268084.464035,-13281.56543
610156.070946,268082.367574,-13290.666504
610181.874518,268080.271112,-13299.767578
610207.770146,268077.971426,-13309.391602
610233.665774,268075.671739,-13319.015625
610259.623676,268073.24885,-13328.53125
610285.581578,268070.825961,-13338.046875
610311.587985,268068.329972,-13347.100586
610337.594392,268065.833982,-13356.154297
610363.628451,268063.320744,-13364.24707
610389.662509,268060.807505,-13372.339844
610415.722934,268058.287235,-13379.451172
610441.783359,268055.766966,-13386.5625
610467.858053,268053.271584,-13392.568359
610493.932748,268050.776203,-13398.574219
610520.018718,268048.330326,-13403.610352
610546.104689,268045.884448,-13408.646484
610572.210045,268043.475362,-13412.922852
610598.315401,268041.066276,-13417.199219
610624.439575,268038.704308,-13420.901367
610650.563749,268036.342339,-13424.603516
610676.707659,268034.029904,-13427.839844
610702.85157,268031.717469,-13431.076172
610729.005953,268029.472336,-13433.907227
610755.160337,268027.227204,-13436.738281
610781.325366,268025.0566,-13439.133789
610807.490395,268022.885995,-13441.529297
610833.647654,268020.834317,-13443.486816
610859.804913,268018.782639,-13445.444336
610885.93626,268016.881208,-13446.682617
610912.067607,268014.979778,-13447.920898
610938.150915,268013.268751,-13448.177246
610964.234222,268011.557723,-13448.433594
609321.847318,268089.77273,-13190.749023
609372.549199,268114.623929,-13185.047363
609397.736693,268115.438598,-13185.743164
609422.895824,268116.2602,-13186.476563
609448.056445,268116.980941,-13187.342285
609473.18966,268117.725878,-13188.282715
609498.329931,268118.352444,-13189.321777
609523.435454,268119.041089,-13190.420898
609548.561326,268119.572018,-13191.652832
609573.647751,268120.200365,-13192.90625
609598.765495,268120.628314,-13194.378906
609623.834662,268121.19216,-13195.795898
609648.956555,268121.487877,-13197.503418
609674.023305,268121.941646,-13199.047363
609699.15584,268122.088087,-13200.948242
609724.226779,268122.402044,-13202.597168
609749.379667,268122.373042,-13204.703125
609774.463416,268122.523402,-13206.467773
609799.645439,268122.30087,-13208.827148
609824.754604,268122.262457,-13210.827637
609849.982663,268121.813921,-13213.589355
609875.134993,268121.550491,-13216.042969
609900.426043,268120.845293,-13219.464844
609925.642953,268120.322234,-13222.701172
609951.015067,268119.347032,-13227.097168
609976.308,268118.552045,-13231.396973
610001.778154,268117.288379,-13237.029785
610027.178825,268116.177331,-13242.682617
610052.762261,268114.610957,-13249.624512
610078.2764,268113.196039,-13256.648926
610103.977909,268111.33543,-13264.881348
610129.608067,268109.634167,-13273.165039
610155.411638,268107.537706,-13282.266113
610181.153307,268105.578601,-13291.494141
610207.048935,268103.278915,-13301.118164
610232.88247,268101.116977,-13310.801758
610258.840372,268098.694088,-13320.317383
610284.753155,268096.369717,-13330.100098
610310.759562,268093.873728,-13339.153809
610336.734504,268091.441816,-13348.51709
610362.768563,268088.928577,-13356.609863
610388.796541,268086.421674,-13365.359863
610414.856966,268083.901404,-13372.471191
610440.931414,268081.346047,-13380.306641
610467.006108,268078.850666,-13386.3125
610493.106733,268076.300621,-13393.218262
610519.192703,268073.854743,-13398.254395
610545.32637,268071.314355,-13404.243652
610571.431726,268068.905269,-13408.52002
610597.591534,268066.39808,-13413.657715
610623.715708,268064.036112,-13417.359863
610649.899656,268061.57329,-13421.76123
610676.043567,268059.260855,-13424.997559
610702.239766,268056.87175,-13428.708008
